id,screen,ia,expected,result,notes,screenshot
HOME-U01,home,IA01,"1 thẻ <h1> duy nhất (FR-21, FR-05)",FAIL,"Tìm thấy 2 thẻ <h1>: ['Danh sách sản phẩm', 'Hiển thị 5 sản phẩm']",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U01.png
HOME-U02,home,IA01,alt='<tên sản phẩm>' (FR-24),FAIL,5/5 ảnh có alt rỗng.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U02.png
HOME-U03,home,IA01,Giá dùng ký hiệu ₫ (FR-21),FAIL,Trang dùng chuỗi 'VND' thay vì ký hiệu ₫.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U03.png
HOME-U04,home,IA01,Tên dài không vỡ layout,PASS,"Human review (HOME-U04.png): ten san pham hien gon trong khung card, khong tran/vo layout voi du lieu hien co.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U04.png
HOME-U05,home,IA01,Grid responsive đúng breakpoint,PASS,"Human review (HOME-U05.png, chup o 1400/800/375px): grid co gian dung so cot theo breakpoint Tailwind (grid-cols-1 sm:grid-cols-2 md:grid-cols-3).",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U05.png
HOME-U06,home,IA01,Ngôn ngữ tiếng Việt nhất quán (FR-21),PASS,Không phát hiện nhãn tiếng Anh lạc trên trang Home.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U06.png
HOME-U07,home,IA01,Navbar đầy đủ trên Home,PASS,Header có logo EShop và link Giỏ hàng.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U07.png
HOME-U08,home,IA01,Nút Thêm vào giỏ màu xanh dương (FR-21),PASS,Nút dùng class chứa 'blue': flex-1 bg-blue-600 text-white py-2 rounded hover:bg-blue-700 text-sm,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U08.png
HOME-U09,home,IA01,Spacing card đồng nhất,PASS,"Human review (HOME-U09.png): cac card co gap/padding deu nhau, khong dinh mep.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U09.png
HOME-U10,home,IA01,Typography đồng bộ,PASS,Human review (HOME-U10.png): ten/gia dung cung co chu va trong luong font o moi card.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U10.png
HOME-U11,home,IA01,Dark mode đủ tương phản,FAIL,Không tìm thấy class/biến thể dark: trong DOM; ép color-scheme=dark bằng script để chụp ảnh minh hoạ nền vẫn trắng cứng (bg-white/bg-gray-50).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U11.png
HOME-U12,home,IA01,RTL layout không vỡ,FAIL,"Human review (HOME-U12.png): trinh duyet tu mirror layout (navbar dao thu tu, tieu de va o tim kiem doi cho hai ben) vi component khong dung logical properties / khong xu ly dir chu dong. -> BUG-GUI-23",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U12.png
HOME-U13,home,IA01,Contrast đạt WCAG AA,FAIL,"Human review (HOME-U13.png): mau gia text-red-500/600 tren nen trang chi dat ~3.0-4.0:1, duoi nguong WCAG AA 4.5:1. -> BUG-GUI-24",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U13.png
HOME-U14,home,IA01,Hover feedback trên card,PASS,Human review (HOME-U14.png): nut va link co trang thai hover ro rang (doi mau nen/underline).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-U14.png
HOME-F01,home,IA02,Placeholder rõ ràng,PASS,Placeholder: 'Tìm kiếm...',C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F01.png
HOME-F02,home,IA02,Submit rỗng không crash,PASS,Submit tìm kiếm rỗng không gây crash / trang vẫn render.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F02.png
HOME-F03,home,IA02,Enter kích hoạt tìm kiếm,PASS,Enter kích hoạt tìm kiếm (thấy dòng 'Kết quả tìm kiếm cho').,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F03.png
HOME-F04,home,IA02,"Không render HTML từ search (FR-05, SEC-04)",FAIL,XSS xác nhận: payload HTML trong ô tìm kiếm được render thành thẻ thật (dangerouslySetInnerHTML không escape) thay vì hiển thị dạng text thuần.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F04.png
HOME-F05,home,IA02,Giữ giá trị ô tìm kiếm sau submit,PASS,Giá trị ô tìm kiếm được giữ lại sau submit.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F05.png
HOME-F06,home,IA02,Hitbox nút Tìm đủ lớn,PASS,"Kích thước nút Tìm: {'height': 42, 'width': 58}",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F06.png
HOME-F07,home,IA02,Keyboard-only tới ô tìm kiếm,PASS,Human review (HOME-F07.png): o tim kiem va nut Tim deu thao tac duoc bang ban phim (Tab + Enter).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F07.png
HOME-F08,home,IA02,Khoảng trắng thừa xử lý nhất quán,FAIL,Human review (HOME-F08.png): tim kiem khong trim khoang trang dau/cuoi -> ket qua khac voi tu khoa da trim; he qua cua string concat khong xu ly o server.js:144. -> BUG-GUI-25,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F08.png
HOME-F09,home,IA02,Không phân biệt hoa/thường,PASS,Human review (HOME-F09.png): SQLite LIKE mac dinh case-insensitive voi ASCII nen tim kiem khong phan biet hoa/thuong.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-F09.png
HOME-N01,home,IA03,Xem chi tiết điều hướng đúng /product/:id,PASS,Điều hướng thành công tới http://localhost:5173/product/1,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N01.png
HOME-N02,home,IA03,Click logo về đúng trang chủ,PASS,Click logo giữ nguyên/điều hướng đúng về trang chủ.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N02.png
